name,map_pid,map_revision,description,format,framerate,height,asset_type,mime_type,bitrate,video_bitrate,video_bitrate_mode,codec,video_mode,width,audio_bitrate,audio_codec,audio_mode,map_link
v_lm_p009,p00q9chw,2,Created for Live Media. 512kbps VP6 simulcast streams. Legacy use only.,VP6,25,360,audio_video,video/x-flv,512,385,CBR,VP6,SD,640,128,MP3,Stereo,https://api.live.bbc.co.uk/pips/api/v1/media_asset_profile/pid.p00q9chw/media_profile_groups/
a_lm_p005,p00qrjbq,1,Created for Live Media. Audio Simulcast Flash AAC Medium,AAC-LC,25,-,audio,audio/mp4,128,-,-,-,-,-,128,AAC,Stereo,https://api.live.bbc.co.uk/pips/api/v1/media_asset_profile/pid.p00qrjbq/media_profile_groups/
a_lm_p006,p00qrjbx,1,Created for Live Media. Audio Simulcast Flash AAC High,AAC-LC,25,-,audio,audio/mp4,320,-,-,-,-,-,320,AAC,Stereo,https://api.live.bbc.co.uk/pips/api/v1/media_asset_profile/pid.p00qrjbx/media_profile_groups/
a_lm_p011,p00qrjc1,1,Created for Live Media. Audio Simulcast SHOUTcast/ICY AAC-LC High,AAC-LC,25,-,audio,audio/x-scpls,320,-,-,-,-,-,320,AAC,Stereo,https://api.live.bbc.co.uk/pips/api/v1/media_asset_profile/pid.p00qrjc1/media_profile_groups/
a_lm_p001,p00qrjcc,1,Created for Live Media. Audio Simulcast 3GP AAC Low,HE-AACv1,25,-,audio,audio/3gpp,56,-,-,-,-,-,56,AAC,Stereo,https://api.live.bbc.co.uk/pips/api/v1/media_asset_profile/pid.p00qrjcc/media_profile_groups/
a_lm_p002,p00qrjcl,1,Created for Live Media. Audio Simulcast ASF WMA Low,WMA,25,-,audio,audio/x-ms-asf,48,-,-,-,-,-,48,WMA,Stereo,https://api.live.bbc.co.uk/pips/api/v1/media_asset_profile/pid.p00qrjcl/media_profile_groups/
a_lm_p004,p00qrjcp,1,Created for Live Media. Audio Simulcast Flash AAC Low,HE-AACv1,25,-,audio,audio/mp4,32,-,-,-,-,-,32,AAC,Stereo,https://api.live.bbc.co.uk/pips/api/v1/media_asset_profile/pid.p00qrjcp/media_profile_groups/
a_lm_p007,p00qrjcz,1,Created for Live Media. Audio Simulcast SHOUTcast/ICY AAC-LC Low,AAC-LC,25,-,audio,audio/x-scpls,56,-,-,-,-,-,56,AAC,Stereo,https://api.live.bbc.co.uk/pips/api/v1/media_asset_profile/pid.p00qrjcz/media_profile_groups/
a_lm_p010,p00qrjd6,1,Created for Live Media. Audio Simulcast SHOUTcast/ICY AAC-LC Medium,AAC-LC,25,-,audio,audio/x-scpls,128,-,-,-,-,-,128,AAC,Stereo,https://api.live.bbc.co.uk/pips/api/v1/media_asset_profile/pid.p00qrjd6/media_profile_groups/
a_lm_p009,p00qrjdd,1,Created for Live Media. Audio Simulcast SHOUTcast/ICY HE-AACv2 Low,HE-AACv2,25,-,audio,audio/x-scpls,48,-,-,-,-,-,48,AAC,Stereo,https://api.live.bbc.co.uk/pips/api/v1/media_asset_profile/pid.p00qrjdd/media_profile_groups/
a_lm_p008,p00qrjdj,1,Created for Live Media. Audio Simulcast SHOUTcast/ICY HE-AACv1 Low,HE-AACv1,25,-,audio,audio/x-scpls,32,-,-,-,-,-,32,AAC,Mono,https://api.live.bbc.co.uk/pips/api/v1/media_asset_profile/pid.p00qrjdj/media_profile_groups/
a_lm_p003,p00qrjdv,1,Created for Live Media. Audio Simulcast ASF WMA Medium,WMA,25,-,audio,audio/x-ms-asf,128,-,-,-,-,-,128,WMA,Stereo,https://api.live.bbc.co.uk/pips/api/v1/media_asset_profile/pid.p00qrjdv/media_profile_groups/
v_od_p025,p00r5v1j,3,Created for iBroadcast 1. 1520kbps asset intended for streaming on PC. Legacy use only.,AVC Main@L3.0,25,360,audio_video,video/mp4,1520,1392,CBR,h264,SD,640,128,AAC-LC,Stereo,https://api.live.bbc.co.uk/pips/api/v1/media_asset_profile/pid.p00r5v1j/media_profile_groups/
v_od_p024,p00r5v23,3,Created for iBroadcast 1. 816kbps asset intended for streaming on PC. Legacy use only.,AVC Main@L3.0,25,360,audio_video,video/mp4,816,720,CBR,h264,SD,640,96,AAC-LC,Stereo,https://api.live.bbc.co.uk/pips/api/v1/media_asset_profile/pid.p00r5v23/media_profile_groups/
v_od_p023,p00r5v27,1,Created for iBroadcast 1. 496kbps asset intended for Flash streaming on PC. Legacy use only.,VP6,25,360,audio_video,video/x-flv,496,370,CBR,VP6,SD,640,128,MP3,Stereo,https://api.live.bbc.co.uk/pips/api/v1/media_asset_profile/pid.p00r5v27/media_profile_groups/
v_od_p026,p00t76bq,2,Created for Mobile Downloads. Medium resolution PlayReady download for Apple iOS and Android devices.,h264,25,360,audio_video,video/mp4,762,700,CBR,H264,SD,640,62,AAC-LC,Stereo,https://api.live.bbc.co.uk/pips/api/v1/media_asset_profile/pid.p00t76bq/media_profile_groups/
v_od_p027,p00t76bt,2,Created for Mobile Downloads. High resolution PlayReady download for Apple iOS and Android devices.,h264,25,360,audio_video,video/mp4,1498,1436,CBR,H264,SD,640,62,AAC-LC,Stereo,https://api.live.bbc.co.uk/pips/api/v1/media_asset_profile/pid.p00t76bt/media_profile_groups/
ts_avc_sd,p00tcrmm,1,SD Profile created for Sky,MPEG2-TS,25,576,audio_video,video/mp4,1800,1600,CBR,h264,SD,720,192,MPEG I Layer II,Stereo,https://api.live.bbc.co.uk/pips/api/v1/media_asset_profile/pid.p00tcrmm/media_profile_groups/
ts_avc_hd,p00tcrnb,1,HD Profile created for Sky,MPEG2-TS,25,1080,audio_video,video/mp4,8000,7600,CBR,h264,1080i,1920,384,Dolby AC-3 2.0,Stereo,https://api.live.bbc.co.uk/pips/api/v1/media_asset_profile/pid.p00tcrnb/media_profile_groups/
